order_id,line_no,product_id,merchant_id,quantity,unit_price,discount_amt
1,1,1052,M11,2,45.0,0.0
2,1,1007,M02,1,32.9,0.0
3,1,1054,M11,1,129.0,6.45
4,1,1055,M11,1,129.0,0.0
4,2,1051,M11,1,18.5,0.0
4,3,1052,M11,1,45.0,0.0
5,1,1003,M01,1,189.0,0.0
6,1,1028,M06,2,32.9,0.0
6,2,1030,M06,2,45.0,0.0
7,1,1018,M04,1,59.9,3.0
7,2,1016,M04,1,189.0,0.0
8,1,1035,M07,1,59.9,0.0
9,1,1048,M10,1,59.9,0.0
10,1,1004,M01,1,45.0,0.0
11,1,1032,M07,1,59.9,0.0
11,2,1035,M07,1,59.9,0.0
12,1,1011,M03,1,24.0,2.4
13,1,1009,M02,2,12.9,1.29
14,1,1005,M01,1,24.0,0.0
14,2,1001,M01,1,32.9,0.0
15,1,1001,M01,1,32.9,1.65
15,2,1004,M01,1,45.0,4.5
15,3,1005,M01,2,24.0,0.0
16,1,1029,M06,1,79.0,0.0
17,1,1003,M01,2,189.0,0.0
17,2,1002,M01,1,129.0,0.0
18,1,1041,M09,1,59.9,5.99
19,1,1029,M06,2,79.0,0.0
20,1,1033,M07,2,45.0,0.0
21,1,1034,M07,1,12.9,0.0
22,1,1049,M10,3,32.9,0.0
23,1,1013,M03,1,79.0,7.9
24,1,1031,M07,3,79.0,0.0
25,1,1028,M06,1,32.9,3.29
25,2,1026,M06,2,32.9,3.29
25,3,1030,M06,1,45.0,0.0
26,1,1035,M07,1,59.9,0.0
27,1,1034,M07,1,12.9,0.0
27,2,1033,M07,1,45.0,2.25
28,1,1024,M05,1,45.0,0.0
29,1,1035,M07,1,59.9,0.0
30,1,1016,M04,1,189.0,0.0
31,1,1034,M07,1,12.9,0.0
32,1,1044,M09,1,189.0,9.45
33,1,1034,M07,1,12.9,1.29
34,1,1042,M09,1,45.0,0.0
35,1,1035,M07,2,59.9,0.0
35,2,1033,M07,1,45.0,2.25
36,1,1035,M07,1,59.9,3.0
37,1,1033,M07,1,45.0,0.0
38,1,1015,M03,1,189.0,0.0
38,2,1012,M03,1,24.0,0.0
39,1,1040,M08,1,32.9,0.0
39,2,1036,M08,1,79.0,0.0
39,3,1038,M08,1,45.0,0.0
40,1,1005,M01,1,24.0,0.0
41,1,1034,M07,1,12.9,0.0
42,1,1046,M10,1,45.0,0.0
42,2,1049,M10,1,32.9,3.29
43,1,1039,M08,1,12.9,0.0
44,1,1005,M01,1,24.0,0.0
45,1,1028,M06,2,32.9,0.0
45,2,1030,M06,1,45.0,2.25
46,1,1017,M04,2,12.9,2.58
47,1,1029,M06,2,79.0,0.0
48,1,1033,M07,1,45.0,0.0
48,2,1035,M07,1,59.9,0.0
49,1,1007,M02,1,32.9,0.0
50,1,1024,M05,2,45.0,0.0
50,2,1025,M05,2,79.0,0.0
51,1,1024,M05,1,45.0,0.0
51,2,1023,M05,1,79.0,0.0
52,1,1018,M04,2,59.9,0.0
52,2,1019,M04,1,18.5,0.0
52,3,1016,M04,1,189.0,0.0
53,1,1004,M01,3,45.0,0.0
54,1,1008,M02,2,45.0,0.0
55,1,1009,M02,1,12.9,0.65
56,1,1011,M03,1,24.0,0.0
57,1,1032,M07,1,59.9,3.0
58,1,1006,M02,1,189.0,0.0
59,1,1015,M03,1,189.0,9.45
60,1,1052,M11,2,45.0,9.0
61,1,1018,M04,1,59.9,5.99
62,1,1057,M12,1,24.0,2.4
63,1,1044,M09,1,189.0,0.0
63,2,1043,M09,2,59.9,5.99
63,3,1042,M09,1,45.0,0.0
64,1,1060,M12,1,129.0,0.0
65,1,1051,M11,1,18.5,0.93
66,1,1007,M02,1,32.9,0.0
66,2,1008,M02,1,45.0,0.0
66,3,1009,M02,1,12.9,0.0
67,1,1060,M12,1,129.0,0.0
67,2,1058,M12,1,18.5,0.93
68,1,1031,M07,1,79.0,3.95
68,2,1033,M07,1,45.0,2.25
69,1,1051,M11,1,18.5,0.0
69,2,1054,M11,1,129.0,0.0
69,3,1055,M11,1,129.0,0.0
70,1,1054,M11,1,129.0,6.45
71,1,1060,M12,3,129.0,19.35
71,2,1056,M12,1,79.0,0.0
71,3,1059,M12,2,24.0,0.0
