txn_id,order_id,txn_ts,amount,currency,payment_method,status,decline_reason,psp_ref
1,1,2026-04-01 15:59:10,90.0,SGD,card_visa,approved,,psp_000001
2,2,2026-04-01 13:39:27,32.9,SGD,card_visa,approved,,psp_000002
3,3,2026-04-01 22:52:31,122.55,SGD,paynow,approved,,psp_000003
4,4,2026-04-01 19:28:00,192.5,SGD,card_visa,approved,,psp_000004
5,5,2026-04-01 12:27:42,189.0,SGD,card_visa,declined,expired_card,psp_000005
6,5,2026-04-01 13:29:42,189.0,SGD,card_visa,approved,,psp_000006
7,6,2026-04-01 17:31:15,155.8,SGD,card_mastercard,approved,,psp_000007
8,7,2026-04-01 11:48:00,245.9,SGD,card_amex,approved,,psp_000008
9,7,2026-04-07 11:48:00,-245.9,SGD,card_amex,refunded,,psp_000009
10,8,2026-04-01 15:00:59,59.9,SGD,card_mastercard,approved,,psp_000010
11,9,2026-04-01 17:27:51,59.9,SGD,card_visa,approved,,psp_000011
12,10,2026-04-01 20:20:57,45.0,SGD,paynow,approved,,psp_000012
13,11,2026-04-01 13:23:44,119.8,SGD,card_mastercard,declined,do_not_honour,psp_000013
14,12,2026-04-02 12:18:55,21.6,SGD,card_mastercard,approved,,psp_000014
15,13,2026-04-02 18:49:00,24.51,SGD,bank_transfer,approved,,psp_000015
16,14,2026-04-02 08:40:56,56.9,SGD,card_mastercard,approved,,psp_000016
17,15,2026-04-02 17:42:24,119.75,SGD,card_mastercard,approved,,psp_000017
18,16,2026-04-02 21:31:50,79.0,SGD,bank_transfer,approved,,psp_000018
19,17,2026-04-02 22:07:22,507.0,SGD,card_visa,declined,insufficient_funds,psp_000019
20,17,2026-04-02 22:56:22,507.0,SGD,card_visa,approved,,psp_000020
21,18,2026-04-02 17:39:49,53.91,SGD,card_visa,approved,,psp_000021
22,19,2026-04-02 22:50:57,158.0,SGD,bank_transfer,declined,3ds_failed,psp_000022
23,19,2026-04-03 00:04:57,158.0,SGD,bank_transfer,approved,,psp_000023
24,20,2026-04-02 20:30:13,90.0,SGD,card_visa,approved,,psp_000024
25,21,2026-04-02 10:12:02,12.9,SGD,paynow,approved,,psp_000025
26,22,2026-04-03 18:05:40,98.7,SGD,card_visa,approved,,psp_000026
27,23,2026-04-03 13:43:52,71.1,SGD,card_visa,approved,,psp_000027
28,24,2026-04-03 15:25:05,237.0,SGD,card_mastercard,approved,,psp_000028
29,25,2026-04-03 06:24:10,137.12,SGD,card_visa,approved,,psp_000029
